arquivo,n_itens,W,valor_otimo,valor_algoritmo,n_nos,n_fila,tempo_seg,memoria_kb,memoria_pico_kb,status
knapPI_14_200_1000_1.csv,200,997,5397,5397,37,19,0.008516,1.38,5.83,OK
knapPI_1_10000_1000_1.csv,10000,49877,563647,563647,1886,860,13.993165,2.68,466.63,OK
knapPI_1_1000_1000_1.csv,1000,5002,54503,54503,320,95,0.121045,2.48,44.7,OK
knapPI_1_100_1000_1.csv,100,995,9147,9147,120,14,0.008796,0.23,3.38,OK
knapPI_1_2000_1000_1.csv,2000,10011,110625,110625,530,214,0.424826,2.62,91.49,OK
knapPI_1_200_1000_1.csv,200,1008,11238,11238,452,25,0.036515,1.4,7.09,OK
knapPI_1_5000_1000_1.csv,5000,25016,276457,276457,988,430,3.092993,2.63,231.95,OK
knapPI_1_500_1000_1.csv,500,2543,28857,28857,298,55,0.053526,2.08,21.24,OK
knapPI_2_10000_1000_1.csv,10000,49877,90204,90204,1352,618,6.99687,2.61,466.62,OK
knapPI_2_1000_1000_1.csv,1000,5002,9052,9052,4853,109,0.468102,2.3,44.7,OK
knapPI_2_100_1000_1.csv,100,995,1514,1514,573,23,0.04278,0.2,5.06,OK
knapPI_2_2000_1000_1.csv,2000,10011,18051,18051,3904,183,0.580285,2.56,91.49,OK
knapPI_2_200_1000_1.csv,200,1008,1634,1634,1403,101,0.109945,1.52,19.78,OK
knapPI_2_5000_1000_1.csv,5000,25016,44356,44356,3615,443,1.668447,2.57,231.9,OK
knapPI_2_500_1000_1.csv,500,2543,4566,4566,341,50,0.035218,2.09,21.29,OK
knapPI_3_10000_1000_1.csv,10000,49519,146919,146894,17328354,843258,1800.000025,2.76,185277.23,TIMEOUT
